Interval,Transfer,Bitrate,Retr,Cwnd,,,,,
59104,connected,to,10.45.0.14,port,,,,,
KBytes,0,Kbits/sec,3,1.32,,,,,8.234672131
Bytes,0,bits/sec,1,1.32,,,,,
Bytes,0,bits/sec,0,1.32,,,,,
Bytes,0,bits/sec,0,1.32,,,,,
MBytes,13,Mbits/sec,1,179,,,,,
MBytes,25.2,Mbits/sec,0,325,,,,,
KBytes,4.19,Mbits/sec,0,348,,,,,
Bytes,0,bits/sec,0,348,,,,,
Bytes,0,bits/sec,0,348,,,,,
Bytes,0,bits/sec,1,1.32,,,,,
Bytes,0,bits/sec,0,1.32,,,,,
Bytes,0,bits/sec,0,1.32,,,,,
Bytes,0,bits/sec,1,1.32,,,,,
MBytes,9.44,Mbits/sec,0,486,,,,,
KBytes,4.19,Mbits/sec,0,512,,,,,
Bytes,0,bits/sec,0,512,,,,,
Bytes,0,bits/sec,0,512,,,,,
Bytes,0,bits/sec,0,512,,,,,
Bytes,0,bits/sec,0,512,,,,,
Bytes,0,bits/sec,1,1.32,,,,,
MBytes,25.2,Mbits/sec,47,453,,,,,
MBytes,29.4,Mbits/sec,0,511,,,,,
MBytes,35.7,Mbits/sec,0,552,,,,,
MBytes,39.8,Mbits/sec,0,578,,,,,
MBytes,38.8,Mbits/sec,0,594,,,,,
MBytes,38.8,Mbits/sec,0,600,,,,,
MBytes,38.8,Mbits/sec,0,602,,,,,
MBytes,39.8,Mbits/sec,0,602,,,,,
MBytes,38.8,Mbits/sec,0,603,,,,,
MBytes,39.8,Mbits/sec,0,609,,,,,
MBytes,38.8,Mbits/sec,0,623,,,,,
MBytes,25.2,Mbits/sec,0,638,,,,,
MBytes,30.4,Mbits/sec,0,682,,,,,
MBytes,18.9,Mbits/sec,0,737,,,,,
MBytes,10.5,Mbits/sec,0,786,,,,,
KBytes,2.1,Mbits/sec,0,800,,,,,
MBytes,8.39,Mbits/sec,0,956,,,,,
Bytes,0,bits/sec,0,956,,,,,
Bytes,0,bits/sec,0,956,,,,,
Bytes,0,bits/sec,0,956,,,,,
Bytes,0,bits/sec,1,1.32,,,,,
Bytes,0,bits/sec,0,1.32,,,,,
KBytes,4.19,Mbits/sec,329,300,,,,,
Bytes,0,bits/sec,0,300,,,,,
Bytes,0,bits/sec,0,300,,,,,
Bytes,0,bits/sec,0,300,,,,,
Bytes,0,bits/sec,0,300,,,,,
Bytes,0,bits/sec,0,300,,,,,
KBytes,2.1,Mbits/sec,232,365,,,,,
Bytes,0,bits/sec,0,365,,,,,
Bytes,0,bits/sec,0,365,,,,,
Bytes,0,bits/sec,0,365,,,,,
Bytes,0,bits/sec,0,365,,,,,
Bytes,0,bits/sec,0,365,,,,,
KBytes,2.1,Mbits/sec,3,420,,,,,
Bytes,0,bits/sec,0,461,,,,,
Bytes,0,bits/sec,0,461,,,,,
Bytes,0,bits/sec,0,461,,,,,
KBytes,6.29,Mbits/sec,0,690,,,,,
Bytes,0,bits/sec,0,690,,,,,
Bytes,0,bits/sec,0,690,,,,,
KBytes,2.1,Mbits/sec,0,885,,,,,
Bytes,0,bits/sec,0,885,,,,,
KBytes,7.34,Mbits/sec,0,958,,,,,
KBytes,5.24,Mbits/sec,0,969,,,,,
Bytes,0,bits/sec,0,969,,,,,
Bytes,0,bits/sec,0,969,,,,,
KBytes,1.05,Mbits/sec,176,678,,,,,
MBytes,11.5,Mbits/sec,5,657,,,,,
Bytes,0,bits/sec,0,657,,,,,
Bytes,0,bits/sec,0,657,,,,,
Bytes,0,bits/sec,0,657,,,,,
Bytes,0,bits/sec,0,657,,,,,
Bytes,0,bits/sec,0,657,,,,,
Bytes,0,bits/sec,0,657,,,,,
Bytes,0,bits/sec,0,657,,,,,
Bytes,0,bits/sec,1,1.32,,,,,
MBytes,16.8,Mbits/sec,190,549,,,,,
KBytes,4.19,Mbits/sec,0,575,,,,,
KBytes,4.19,Mbits/sec,0,604,,,,,
KBytes,5.24,Mbits/sec,0,635,,,,,
KBytes,5.24,Mbits/sec,0,666,,,,,
Bytes,0,bits/sec,0,666,,,,,
Bytes,0,bits/sec,0,666,,,,,
Bytes,0,bits/sec,0,666,,,,,
MBytes,9.44,Mbits/sec,0,789,,,,,
KBytes,2.1,Mbits/sec,87,556,,,,,
Bytes,0,bits/sec,0,556,,,,,
Bytes,0,bits/sec,0,556,,,,,
Bytes,0,bits/sec,0,556,,,,,
Bytes,0,bits/sec,0,556,,,,,
Bytes,0,bits/sec,0,556,,,,,
MBytes,19.9,Mbits/sec,1,636,,,,,
MBytes,27.3,Mbits/sec,0,804,,,,,
MBytes,32.5,Mbits/sec,0,1002,,,,,
MBytes,40.9,Mbits/sec,0,1.2,,,,,
MBytes,38.8,Mbits/sec,0,1.43,,,,,
MBytes,38.8,Mbits/sec,0,1.66,,,,,
MBytes,38.8,Mbits/sec,0,1.9,,,,,
MBytes,38.8,Mbits/sec,0,2.13,,,,,
MBytes,24.1,Mbits/sec,0,2.28,,,,,
KBytes,7.34,Mbits/sec,1,2.33,,,,,
Bytes,0,bits/sec,0,2.33,,,,,
MBytes,16.8,Mbits/sec,0,2.44,,,,,
Bytes,0,bits/sec,0,2.44,,,,,
Bytes,0,bits/sec,0,2.44,,,,,
Bytes,0,bits/sec,0,2.44,,,,,
Bytes,0,bits/sec,0,2.44,,,,,
Bytes,0,bits/sec,0,2.44,,,,,
MBytes,9.44,Mbits/sec,782,1.7,,,,,
Bytes,0,bits/sec,0,1.7,,,,,
KBytes,3.15,Mbits/sec,0,1.7,,,,,
Bytes,0,bits/sec,0,1.7,,,,,
KBytes,4.19,Mbits/sec,0,1.17,,,,,
KBytes,2.1,Mbits/sec,71,1.08,,,,,
Bytes,0,bits/sec,0,1.08,,,,,
Bytes,0,bits/sec,0,1.08,,,,,
KBytes,1.05,Mbits/sec,171,506,,,,,
Bytes,0,bits/sec,0,506,,,,,
Bytes,0,bits/sec,0,506,,,,,
MBytes,8.24,Mbits/sec,2105,sender,,,,,
MBytes,8.1,Mbits/sec,receiver,,,,,,
